comment,percentco,startsta,difflike,uid,startfo,timerank,time,percentlike,startrepost,follower,percentfo,likes,startlikes,picindex,friends,statuses,repost,verified,idindex,lenindex,percentrepo,gender,diffrepo,startcomment,bi_follow,diffco,timestamp,difffo
14925,578.7126793,200,-1,1797270765,5065124,53,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,688,2579,88,109,12/5/17 12:06,-2
14925,578.7126793,200,4,1797270765,5065124,54,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,689,2579,88,109,12/5/17 12:16,2
14925,578.7126793,200,-2,1797270765,5065124,55,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,540,2579,88,128,12/5/17 12:26,2
14925,578.7126793,200,-3,1797270765,5065124,56,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,381,2579,88,170,12/5/17 12:36,1
14925,578.7126793,200,-4,1797270765,5065124,57,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,397,2579,88,182,12/5/17 12:46,1
14925,578.7126793,200,0,1797270765,5065124,58,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,372,2579,88,193,12/5/17 12:56,1
14925,578.7126793,200,4,1797270765,5065124,59,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,326,2579,88,201,12/5/17 13:06,0
14925,578.7126793,200,2,1797270765,5065124,60,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,351,2579,88,217,12/5/17 13:16,0
14925,578.7126793,200,-4,1797270765,5065124,61,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,371,2579,88,226,12/5/17 13:26,3
14925,578.7126793,200,-1,1797270765,5065124,62,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,394,2579,88,200,12/5/17 13:36,4
14925,578.7126793,200,-2,1797270765,5065124,63,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,402,2579,88,284,12/5/17 13:46,0
14925,578.7126793,200,0,1797270765,5065124,64,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,449,2579,88,330,12/5/17 13:56,-1
14925,578.7126793,200,6,1797270765,5065124,65,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,520,2579,88,358,12/5/17 14:07,2
14925,578.7126793,200,5,1797270765,5065124,66,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,550,2579,88,414,12/5/17 14:17,0
14925,578.7126793,200,6,1797270765,5065124,67,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,586,2579,88,442,12/5/17 14:27,0
14925,578.7126793,200,8,1797270765,5065124,68,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,658,2579,88,583,12/5/17 14:37,5
14925,578.7126793,200,5,1797270765,5065124,69,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,675,2579,88,505,12/5/17 14:47,7
14925,578.7126793,200,-3,1797270765,5065124,70,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,686,2579,88,535,12/5/17 14:57,1
14925,578.7126793,200,-5,1797270765,5065124,71,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,786,2579,88,556,12/5/17 15:07,1
14925,578.7126793,200,-1,1797270765,5065124,72,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,913,2579,88,284,12/5/17 15:17,1
14925,578.7126793,200,-4,1797270765,5065124,73,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,906,2579,88,177,12/5/17 15:27,0
14925,578.7126793,200,-8,1797270765,5065124,74,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,765,2579,88,413,12/5/17 15:37,2
14925,578.7126793,200,-29,1797270765,5065124,75,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,744,2579,88,712,12/5/17 15:47,0
14925,578.7126793,200,-4,1797270765,5065124,76,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,764,2579,88,1001,12/5/17 15:57,6
14925,578.7126793,200,-21,1797270765,5065124,77,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,937,2579,88,399,12/5/17 16:07,3
14925,578.7126793,200,-2,1797270765,5065124,78,Tue Dec 05 17:51:51 +0800 2017,712.403441,5639,686,1.354359735,81157,11392,0,216,0,41253,TRUE,1,29,731.5658805,0,797,2579,88,8,12/5/17 16:17,5
6254,32.32542513,773,1246,1669879400,36303881,1,Tue Dec 05 10:25:38 +0800 2017,36.56078329,348191,7297,2.009977941,40664,111223,0,196,0,462660,TRUE,2,20,132.8753472,1,9155,19347,177,255,12/5/17 3:22,185
